time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1994-07-13T21:25:11.380Z,39.33,-120.085,15.4,3.1,md,,,,,us,usp0006fmk,2014-11-07T00:55:51.889Z,"Northern California",earthquake,,,,,reviewed,nc,gm/
1994-06-22T04:10:04.600Z,39.157,-119.591,3.712,3.5,ml,0,0,,0,ci,ci3173344,2016-02-13T06:22:58.105Z,"9km S of Dayton, Nevada",earthquake,,,,0,reviewed,ci,ci
1993-10-23T06:59:33.820Z,39.104,-119.582,6.7,3,md,,,,,us,usp00062gq,2014-11-07T00:54:14.660Z,"Nevada",earthquake,,,,,reviewed,nc,gm$
1993-08-09T02:19:08.210Z,39.389,-120.24,15.4,3,md,,,,,us,usp0005y5d,2014-11-07T00:53:41.243Z,"Northern California",earthquake,,,,,reviewed,nc,gm$
1993-08-06T00:31:39.550Z,39.388,-120.246,15.4,3.1,md,,,,,us,usp0005y09,2014-11-07T00:53:39.947Z,"Northern California",earthquake,,,,,reviewed,nc,gm$
1993-04-20T01:33:58.100Z,39.839,-119.637,2.599,3.5,ml,0,0,,0,ci,ci3101516,2016-02-10T06:00:25.002Z,"22km NNE of Spanish Springs, Nevada",earthquake,,,,0,reviewed,ci,ci
1993-02-05T17:10:24.900Z,39.259,-119.538,2.629,3.6,ml,0,0,,0,ci,ci3091353,2016-02-10T09:27:05.705Z,"5km ENE of Dayton, Nevada",earthquake,,,,0,reviewed,ci,ci
1992-09-23T16:29:43.800Z,39.683,-120.23,17,3.6,ml,,,,,us,usp0005ecw,2014-11-07T00:51:30.316Z,"Northern California",earthquake,,,,,reviewed,brk,gs$
1992-09-23T16:28:03.000Z,39.68,-120.253,13,3.3,ml,,,,,us,usp0005ecv,2014-11-07T00:51:30.313Z,"Northern California",earthquake,,,,,reviewed,brk,gs$
1992-08-30T23:42:09.000Z,39.397,-120.247,19,3.2,ml,,,,,us,usp0005dbd,2014-11-07T00:51:20.265Z,"Northern California",earthquake,,,,,reviewed,brk,brk
1992-07-10T06:43:15.500Z,39.219,-119.546,2.599,3.1,ml,0,0,,0,ci,ci3040805,2016-02-10T00:39:17.812Z,"4km ESE of Dayton, Nevada",earthquake,,,,0,reviewed,ci,ci
1992-04-06T04:01:29.000Z,39.67,-119.82,9.5,4.4,ml,,,,,us,usp00055cx,2014-11-07T00:50:25.126Z,"Nevada",earthquake,,,,,reviewed,ren,brk
1992-03-24T11:38:53.970Z,39.459,-119.9,5,3.5,ml,,,,1,us,usp00054s0,2014-11-07T00:50:18.502Z,"Nevada",earthquake,,,,,reviewed,us,brk
1991-02-19T03:47:28.800Z,39.325,-119.445,1,3,ml,,,,,us,usp0004n40,2014-11-07T00:48:02.043Z,"Nevada",earthquake,,,,,reviewed,brk,brk
1991-01-03T02:08:51.920Z,39.222,-119.741,7.1,4,ml,,,,,us,usp0004k4r,2014-11-07T00:47:44.710Z,"Nevada",earthquake,,,,,reviewed,ren,brk
1991-01-02T23:44:34.340Z,39.216,-119.724,10,3.5,ml,,,,,us,usp0004k4e,2014-11-07T00:47:44.508Z,"Nevada",earthquake,,,,,reviewed,ren,brk
1991-01-02T23:16:35.550Z,39.212,-119.733,5.8,4.4,mb,,,,,us,usp0004k4a,2014-11-07T00:47:44.484Z,"Nevada",earthquake,,,,4,reviewed,ren,us
